,Country,Region,Population,Area,Coastline,GDP,Pop. Density
0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997,647500,"0,00",700.0,47.96447413127413
1,Albania,EASTERN EUROPE                     ,3581655,28748,"1,26",4500.0,124.5879713371365
2,Algeria,NORTHERN AFRICA                    ,32930091,2381740,"0,04",6000.0,13.826064557844266
3,AmericanSamoa,OCEANIA                            ,57794,199,"58,29",8000.0,290.4221105527638
4,Andorra,WESTERN EUROPE                     ,71201,468,"0,00",19000.0,152.13888888888889
5,Angola,SUB-SAHARAN AFRICA                 ,12127071,1246700,"0,13",1900.0,9.727336969599744
6,Anguilla,LATIN AMER. & CARIB    ,13477,102,"59,80",8600.0,132.12745098039215
7,Antigua&Barbuda,LATIN AMER. & CARIB    ,69108,443,"34,54",11000.0,156.0
8,Argentina,LATIN AMER. & CARIB    ,39921833,2766890,"0,18",11200.0,14.428413489513497
9,Armenia,C.W. OF IND. STATES ,2976372,29800,"0,00",3500.0,99.87825503355705
10,Aruba,LATIN AMER. & CARIB    ,71891,193,"35,49",28000.0,372.4922279792746
11,Australia,OCEANIA                            ,20264082,7686850,"0,34",29000.0,2.6362010446411728
12,Austria,WESTERN EUROPE                     ,8192880,83870,"0,00",30000.0,97.68546560152618
13,Azerbaijan,C.W. OF IND. STATES ,7961619,86600,"0,00",3400.0,91.93555427251732
14,"Bahamas,The",LATIN AMER. & CARIB    ,303770,13940,"25,41",16700.0,21.791248206599715
15,Bahrain,NEAR EAST                          ,698585,665,"24,21",16900.0,1050.5037593984962
16,Bangladesh,ASIA (EX. NEAR EAST)         ,147365352,144000,"0,40",1900.0,1023.3705
17,Barbados,LATIN AMER. & CARIB    ,279912,431,"22,51",15700.0,649.4477958236658
18,Belarus,C.W. OF IND. STATES ,10293011,207600,"0,00",6100.0,49.580977842003854
19,Belgium,WESTERN EUROPE                     ,10379067,30528,"0,22",29100.0,339.98516116352204
20,Belize,LATIN AMER. & CARIB    ,287730,22966,"1,68",4900.0,12.528520421492642
21,Benin,SUB-SAHARAN AFRICA                 ,7862944,112620,"0,11",1100.0,69.81836263541112
22,Bermuda,NORTHERN AMERICA                   ,65773,53,"194,34",36000.0,1241.0
23,Bhutan,ASIA (EX. NEAR EAST)         ,2279723,47000,"0,00",1300.0,48.50474468085106
24,Bolivia,LATIN AMER. & CARIB    ,8989046,1098580,"0,00",2400.0,8.182422763931621
25,Bosnia&Herzegovina,EASTERN EUROPE                     ,4498976,51129,"0,04",6100.0,87.99264605214262
26,Botswana,SUB-SAHARAN AFRICA                 ,1639833,600370,"0,00",9000.0,2.7313706547628964
27,Brazil,LATIN AMER. & CARIB    ,188078227,8511965,"0,09",7600.0,22.095747221704976
28,BritishVirginIs.,LATIN AMER. & CARIB    ,23098,153,"52,29",16000.0,150.96732026143792
29,Brunei,ASIA (EX. NEAR EAST)         ,379444,5770,"2,79",18600.0,65.76152512998267
30,Bulgaria,EASTERN EUROPE                     ,7385367,110910,"0,32",7600.0,66.58882878009197
31,BurkinaFaso,SUB-SAHARAN AFRICA                 ,13902972,274200,"0,00",1100.0,50.703763676148796
32,Burma,ASIA (EX. NEAR EAST)         ,47382633,678500,"0,28",1800.0,69.8343890935888
33,Burundi,SUB-SAHARAN AFRICA                 ,8090068,27830,"0,00",600.0,290.69593963348905
34,Cambodia,ASIA (EX. NEAR EAST)         ,13881427,181040,"0,24",1900.0,76.67602187361909
35,Cameroon,SUB-SAHARAN AFRICA                 ,17340702,475440,"0,08",1800.0,36.472955577990916
36,Canada,NORTHERN AMERICA                   ,33098932,9984670,"2,02",29800.0,3.314975056762016
37,CapeVerde,SUB-SAHARAN AFRICA                 ,420979,4033,"23,93",1400.0,104.38358542028267
38,CaymanIslands,LATIN AMER. & CARIB    ,45436,262,"61,07",35000.0,173.4198473282443
39,CentralAfricanRep.,SUB-SAHARAN AFRICA                 ,4303356,622984,"0,00",1100.0,6.907650918803693
40,Chad,SUB-SAHARAN AFRICA                 ,9944201,1284000,"0,00",1200.0,7.744704828660436
41,Chile,LATIN AMER. & CARIB    ,16134219,756950,"0,85",9900.0,21.314775084219566
42,China,ASIA (EX. NEAR EAST)         ,1313973713,9596960,"0,15",5000.0,136.91561838332137
43,Colombia,LATIN AMER. & CARIB    ,43593035,1138910,"0,28",6300.0,38.27610171128535
44,Comoros,SUB-SAHARAN AFRICA                 ,690948,2170,"15,67",700.0,318.4092165898617
45,"Congo,Dem.Rep.",SUB-SAHARAN AFRICA                 ,62660551,2345410,"0,00",700.0,26.716246200024727
46,"Congo,Repub.ofthe",SUB-SAHARAN AFRICA                 ,3702314,342000,"0,05",700.0,10.825479532163742
