   x1   x2  x3  x4 x5
  131  138  89  49  1
  125  131  92  48  1
  131  132  99  50  1
  119  132  96  44  1
  136  143  100  54  1
  138  137  89  56  1
  139  130  108  48  1
  125  136  93  48  1
  131  134  102  51  1
  134  134  99  51  1
  129  138  95  50  1
  134  121  95  53  1
  126  129  109  51  1
  132  136  100  50  1
  141  140  100  51  1
  131  134  97  54  1
  135  137  103  50  1
  132  133  93  53  1
  139  136  96  50  1
  132  131  101  49  1
  126  133  102  51  1
  135  135  103  47  1
  134  124  93  53  1
  128  134  103  50  1
  130  130  104  49  1
  138  135  100  55  1
  128  132  93  53  1
  127  129  106  48  1
  131  136  114  54  1
  124  138  101  46  1
